  mixed
Date: 11062013143247
IP address: 55.23.173.55
Yanina,45,Female
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,5:8|6:8|8:3|8:4|2:3|3:3|,2:4,3:6,fullMiss,9.012,4,52,51
trial,2:2|2:3|6:2|6:3|3:8|4:8|,2:3,1:2,nearMiss,7.976,1,9,55
trial,5:7|6:7|2:1|2:2|6:2|6:3|,2:2,2:1,hit,7.496,1,93,55
trial,4:3|5:3|8:8|8:9|1:8|2:8|,2:3,2:4,fullMiss,7.715,1,55,94
trial,6:2|6:3|1:7|1:8|7:8|8:8|,2:8,4:6,fullMiss,6.64,5,58,99
trial,5:7|5:8|4:2|4:3|1:7|1:8|,4:7,4:8,nearMiss,9.375,3,55,93
trial,4:2|4:3|5:7|6:7|9:1|9:2|,6:8,5:9,fullMiss,7.272,3,51,97
trial,6:4|6:5|1:5|1:6|,7:3,5:3,nearMiss,8.038,6,52,98
trial,3:2|3:3|3:7|3:8|9:3|9:4|,3:4,3:3,hit,6.741,6,97,94
trial,5:5|6:5|1:5|1:6|1:1|2:1|,3:8,4:9,fullMiss,5.294,4,54,94
trial,3:8|4:8|8:9|9:9|7:2|8:2|,3:3,3:3,fullMiss,9.836,7,53,97
trial,2:3|3:3|2:8|3:8|7:2|7:3|,3:7,2:9,nearMiss,6.108,4,52,97
trial,4:1|5:1|7:6|8:6|1:6|2:6|,3:8,2:10,fullMiss,7.63,1,54,98
trial,8:6|9:6|3:1|3:2|3:6|4:6|,3:7,4:5,nearMiss,11.81,5,6,97
trial,8:8|8:9|5:2|6:2|2:8|3:8|,7:7,8:9,hit,4.256,0,93,96
trial,8:2|8:3|1:9|2:9|8:7|8:8|,3:7,5:6,fullMiss,7.219,4,54,95
trial,1:1|1:2|5:5|6:5|6:9|7:9|,3:3,2:3,nearMiss,6.873,4,55,97
trial,9:2|9:3|1:5|1:6|9:7|9:8|,2:3,1:3,fullMiss,4.224,1,52,98
trial,6:2|6:3|2:6|2:7|7:8|8:8|,8:3,7:5,fullMiss,4.484,6,7,95
trial,4:3|5:3|9:5|9:6|3:7|3:8|,8:7,9:7,nearMiss,5.682,4,13,99
trial,4:7|4:8|5:1|5:2|9:7|9:8|,8:8,9:7,hit,3.339,1,98,98
trial,7:6|8:6|2:2|3:2|3:6|3:7|,8:2,8:4,fullMiss,4.38,6,7,99
trial,2:9|3:9|2:2|3:2|7:6|8:6|,8:3,7:2,fullMiss,4.92,1,52,97
trial,3:2|3:3|8:9|9:9|8:1|8:2|,3:4,3:5,fullMiss,4.805,1,9,93
trial,3:6|4:6|3:1|4:1|8:1|9:1|,3:8,2:6,nearMiss,3.756,4,58,99
trial,9:4|9:5|1:2|2:2|4:7|4:8|,7:8,7:6,fullMiss,8.08,4,53,55
trial,3:7|3:8|3:2|4:2|7:8|8:8|,7:8,7:8,hit,4.538,0,95,97

A little,Visual
