  skill
Date: 13062013115409
IP address: 133.117.213.227
max,26,male
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,7:4|7:5|2:9|3:9|2:4|2:5|,2:5,3:2,fullMiss,12.892,56,22,69
trial,4:5|5:5|6:1|7:1|9:6|9:7|,5:5,5:6,nearMiss,6.65,18,35,62
trial,1:7|2:7|6:6|7:6|7:1|8:1|,8:1,8:1,hit,3.129,3,100,90
trial,2:6|3:6|7:7|8:7|5:1|5:2|,8:7,8:8,nearMiss,5.018,46,58,65
trial,2:4|2:5|8:3|8:4|7:9|8:9|,7:9,8:10,nearMiss,9.043,30,42,45
trial,1:3|2:3|7:6|7:7|3:7|3:8|,7:6,9:7,fullMiss,7.534,8,34,39
trial,7:5|7:6|2:4|2:5|7:1|8:1|,7:1,5:2,fullMiss,4.89,8,47,28
trial,4:3|4:4|5:8|6:8|9:3|9:4|,9:3,6:3,fullMiss,3.947,10,20,25
trial,3:6|4:6|8:7|8:8|6:2|7:2|,7:2,6:2,hit,18.546,8,100,73
trial,1:4|1:5|6:4|6:5|2:9|3:9|,6:4,8:4,fullMiss,6.49,8,64,55
trial,4:2|4:3|5:7|6:7|1:7|1:8|,5:7,4:7,nearMiss,5.161,8,69,50
trial,3:3|3:4|8:3|9:3|1:8|2:8|,2:8,1:11,fullMiss,6.202,8,56,43
trial,3:5|4:5|8:6|8:7|2:9|3:9|,3:5,3:5,hit,3.137,9,100,7
trial,5:5|5:6|1:5|1:6|7:1|8:1|,7:1,6:0,nearMiss,3.01,4,41,16
trial,4:8|5:8|6:3|7:3|1:3|1:4|,7:3,4:1,fullMiss,3.461,2,0,0
trial,6:8|7:8|5:3|6:3|1:7|2:7|,6:3,6:3,hit,3.31,1,50,0
trial,8:3|9:3|9:8|9:9|2:1|2:2|,2:1,2:1,hit,3.748,3,68,17
trial,7:3|8:3|1:6|1:7|7:7|7:8|,7:3,7:3,hit,2.749,7,55,18
trial,6:9|7:9|2:8|2:9|3:2|3:3|,3:3,3:0,fullMiss,3.785,4,57,45
trial,8:5|9:5|2:8|2:9|3:1|3:2|,3:2,2:3,nearMiss,1.713,1,0,0
trial,7:9|8:9|3:2|3:3|2:7|3:7|,3:3,2:3,nearMiss,2.304,5,9,1
trial,9:7|9:8|3:7|4:7|2:2|3:2|,2:2,0:2,fullMiss,4.371,3,19,15
trial,1:5|1:6|7:5|7:6|4:1|5:1|,5:1,4:3,fullMiss,2.601,6,19,8

