  mixed
Date: 10062013091546
IP address: 204.190.163.180
dan,32,male
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,6:6|7:6|9:1|9:2|1:3|2:3|,7:5,5:3,fullMiss,39.253,44,15,92
trial,5:1|6:1|4:7|5:7|1:2|1:3|,9:5,8:6,fullMiss,20.053,19,52,95
trial,3:5|4:5|8:2|8:3|3:1|4:1|,5:4,5:5,nearMiss,23.203,44,92,73
trial,4:6|5:6|9:7|9:8|4:2|5:2|,4:6,5:6,hit,20.124,27,96,97
trial,3:5|4:5|9:6|9:7|4:1|5:1|,4:6,6:7,fullMiss,1.25,31,16,82
trial,7:2|7:3|6:7|6:8|1:5|2:5|,4:3,3:4,nearMiss,3.29,17,80,16
trial,3:5|3:6|9:6|9:7|7:2|8:2|,3:3,4:2,fullMiss,3.311,7,58,89
trial,6:8|7:8|7:2|7:3|2:3|2:4|,3:2,3:2,nearMiss,1.071,0,43,49
trial,6:7|6:8|4:1|5:1|2:7|2:8|,7:2,6:3,fullMiss,9.771,45,57,40
trial,9:7|9:8|3:2|4:2|8:2|9:2|,4:2,3:2,hit,2.431,4,94,10
trial,5:4|6:4|1:4|1:5|5:8|6:8|,3:2,4:3,nearMiss,7.23,14,0,0
trial,8:2|9:2|4:1|4:2|8:8|9:8|,4:2,5:1,nearMiss,1.812,5,0,0
trial,3:1|4:1|5:9|6:9|8:2|8:3|,5:7,5:7,fullMiss,1.93,40,2,0
trial,4:2|4:3|7:8|7:9|1:7|2:7|,5:1,4:0,fullMiss,2.091,13,1,0
trial,1:8|1:9|7:4|8:4|8:8|8:9|,4:4,5:6,fullMiss,1.68,0,1,0
trial,3:1|3:2|2:7|3:7|8:6|9:6|,5:4,4:5,fullMiss,5.9,13,0,0
trial,4:6|5:6|6:2|7:2|9:6|9:7|,5:4,5:2,nearMiss,2.11,0,2,1
trial,2:6|2:7|5:1|6:1|6:5|6:6|,5:4,6:5,hit,1.63,0,51,0
trial,4:8|5:8|3:3|4:3|9:5|9:6|,5:4,4:3,hit,1.491,0,98,1
trial,4:2|5:2|4:6|5:6|,4:6,4:6,hit,7.08,13,62,0
trial,4:7|5:7|4:2|5:2|9:7|9:8|,4:3,5:4,fullMiss,6.811,3,1,52
trial,1:2|2:2|7:5|7:6|2:6|2:7|,4:3,5:3,fullMiss,1.12,0,49,0
trial,4:4|4:5|8:8|8:9|8:1|8:2|,4:3,5:4,nearMiss,2.13,0,54,0
trial,6:8|7:8|6:2|6:3|2:5|2:6|,4:3,4:2,fullMiss,1.79,0,51,0
trial,4:5|5:5|3:9|4:9|4:1|5:1|,6:5,7:6,fullMiss,4.771,4,52,1
trial,3:5|4:5|8:4|9:4|,6:5,5:6,nearMiss,16.982,0,0,0

