  luck
Date: 04062013233101
IP address: 71.181.86.23
m,28,FEMALE
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,8:1|8:2|2:6|2:7|8:7|8:8|,4:4,4:3,fullMiss,5.18,6,52,61
trial,9:4|9:5|2:4|3:4|2:8|3:8|,4:4,4:4,nearMiss,2.503,0,50,56
trial,2:3|2:4|7:6|7:7|2:8|3:8|,6:7,7:7,hit,4.801,5,69,67
trial,5:2|6:2|4:9|5:9|9:7|9:8|,7:4,7:4,fullMiss,9.277,12,51,61
trial,4:7|5:7|8:1|8:2|4:2|4:3|,7:4,8:4,fullMiss,1.991,0,57,58
trial,6:3|7:3|1:5|1:6|5:8|6:8|,7:4,7:4,nearMiss,2.667,0,50,45
trial,4:1|4:2|8:4|8:5|4:6|4:7|,7:4,7:3,nearMiss,1.436,0,50,48
trial,5:7|6:7|3:1|3:2|8:2|8:3|,3:3,4:2,nearMiss,6.3,7,42,25
trial,6:7|6:8|1:3|1:4|7:2|7:3|,3:3,3:3,fullMiss,2.629,0,51,57
trial,5:2|5:3|8:7|8:8|3:8|4:8|,3:3,2:4,fullMiss,1.574,0,49,44
trial,1:4|1:5|8:3|8:4|6:8|7:8|,6:5,6:6,fullMiss,6.778,5,50,43
trial,5:7|5:8|8:2|8:3|4:2|4:3|,6:5,6:5,fullMiss,1.256,0,54,44
trial,4:6|5:6|5:2|6:2|,6:5,5:6,hit,1.351,0,87,43
trial,6:6|7:6|5:1|6:1|2:5|2:6|,6:5,5:5,nearMiss,1.055,0,41,43
trial,2:8|3:8|6:4|7:4|8:8|8:9|,6:5,7:6,fullMiss,1.058,0,40,31
trial,6:7|6:8|3:1|3:2|7:1|7:2|,6:5,5:5,fullMiss,1.232,0,45,33
trial,3:6|4:6|8:4|8:5|3:1|3:2|,6:5,7:5,nearMiss,0.934,0,46,29
trial,9:6|9:7|4:2|5:2|4:6|5:6|,6:5,5:6,hit,1.251,0,61,27
trial,7:8|8:8|2:6|2:7|3:2|4:2|,6:5,6:4,fullMiss,0.994,0,51,23
trial,2:6|3:6|3:1|4:1|8:4|9:4|,6:5,5:5,fullMiss,1.096,0,49,29
trial,8:7|8:8|8:2|8:3|4:5|4:6|,6:5,5:5,nearMiss,1.015,0,52,17
trial,7:5|7:6|1:5|1:6|6:1|7:1|,6:5,5:5,fullMiss,0.997,0,52,19
trial,7:3|8:3|5:7|6:7|1:8|1:9|,6:5,6:6,nearMiss,1.573,0,49,18
trial,8:2|8:3|1:1|2:1|7:7|7:8|,6:5,6:5,fullMiss,2.261,0,50,18
trial,3:5|3:6|8:6|8:7|4:1|5:1|,6:5,6:5,fullMiss,1.106,0,52,8
trial,6:7|7:7|7:2|7:3|2:4|2:5|,6:5,5:6,nearMiss,1.04,0,51,5

