  skill
Date: 18062013144616
IP address: 151.221.169.226
Bennifer,30,female
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,6:2|6:3|4:7|4:8|1:1|1:2|,4:10,3:10,fullMiss,9.134,15,0,100
trial,4:8|4:9|3:3|3:4|7:1|7:2|,4:7,5:8,nearMiss,2.421,3,0,100
trial,3:6|3:7|8:2|8:3|8:7|8:8|,4:7,3:7,hit,1.509,0,68,100
trial,3:2|4:2|4:7|4:8|8:1|8:2|,4:7,4:7,hit,1.766,0,67,99
trial,9:7|9:8|5:4|5:5|9:2|9:3|,4:6,4:6,nearMiss,2.519,1,35,100
trial,2:8|2:9|2:4|3:4|8:7|8:8|,2:4,3:4,hit,3.946,4,92,99
trial,5:7|5:8|1:6|1:7|2:2|3:2|,2:2,0:3,fullMiss,4.517,2,6,99
trial,8:3|8:4|3:7|3:8|4:1|4:2|,4:1,4:1,hit,3.175,3,83,100
trial,6:9|7:9|3:1|4:1|9:3|9:4|,3:1,4:1,hit,2.129,1,97,98
trial,4:7|5:7|7:2|8:2|3:2|3:3|,3:4,2:5,fullMiss,4.97,5,19,99
trial,7:5|8:5|7:9|8:9|2:2|2:3|,8:6,9:7,fullMiss,3.94,7,16,98
trial,7:8|7:9|2:6|3:6|7:2|7:3|,7:9,9:8,fullMiss,3.43,4,22,82
trial,6:5|6:6|2:4|2:5|,6:6,5:6,nearMiss,2.648,4,19,79
trial,6:3|6:4|2:5|2:6|6:8|7:8|,7:8,7:7,nearMiss,3.318,3,24,75
trial,2:3|2:4|9:6|9:7|7:1|7:2|,9:7,8:6,nearMiss,4.458,5,19,56
trial,6:5|6:6|2:7|2:8|2:2|2:3|,6:6,8:5,fullMiss,2.165,4,26,54
trial,8:5|8:6|2:3|2:4|2:8|3:8|,6:6,6:8,fullMiss,2.749,0,24,40
trial,5:8|6:8|7:2|7:3|2:4|3:4|,6:3,5:2,fullMiss,2.127,3,13,22
trial,4:8|4:9|9:5|9:6|5:1|6:1|,5:1,4:3,fullMiss,2.901,4,9,61
trial,5:5|5:6|6:1|7:1|9:6|9:7|,8:6,6:8,fullMiss,2.992,8,15,13
trial,3:8|4:8|7:1|7:2|3:1|3:2|,1:10,3:9,nearMiss,6.141,22,8,23
trial,7:7|8:7|3:5|3:6|8:2|9:2|,3:7,1:9,fullMiss,4.38,5,12,23
trial,4:6|4:7|5:1|5:2|9:1|9:2|,3:7,5:6,nearMiss,1.244,0,2,1
trial,4:1|5:1|6:5|6:6|2:6|2:7|,3:7,3:9,fullMiss,1.137,0,0,0
trial,7:7|7:8|2:1|2:2|8:3|9:3|,7:8,5:7,fullMiss,3.041,15,8,0
trial,8:4|9:4|2:7|2:8|8:8|8:9|,10:8,9:8,nearMiss,1.284,0,9,0
trial,7:3|7:4|1:8|1:9|3:2|3:3|,1:9,1:9,hit,5.224,11,34,2
trial,2:3|3:3|7:4|7:5|2:8|2:9|,2:1,1:1,fullMiss,6.279,10,2,0
trial,7:6|7:7|2:2|3:2|3:8|3:9|,2:1,1:0,fullMiss,1.297,0,3,2

