  mixed
Date: 13062013144057
IP address: 210.76.92.176
K,36,MALE
,Ships,Aimed For,Landed At,Result,Latency,Moves,Happinness,WantsMore
trial,7:3|7:4|7:8|7:9|1:7|1:8|,4:4,4:4,fullMiss,3.495,6,0,51
trial,1:4|1:5|7:7|8:7|8:2|8:3|,4:4,2:3,nearMiss,1.723,0,0,53
trial,4:5|5:5|3:1|4:1|9:3|9:4|,5:6,5:5,hit,1.056,0,74,50
trial,6:9|7:9|5:3|6:3|1:8|2:8|,5:6,5:6,fullMiss,2.54,0,39,41
trial,8:4|9:4|2:6|2:7|6:8|7:8|,5:6,3:7,nearMiss,1.336,0,51,29
trial,7:2|8:2|2:2|3:2|7:6|7:7|,5:6,5:7,fullMiss,1.172,0,42,22
trial,5:7|6:7|7:2|8:2|3:2|3:3|,5:6,6:6,nearMiss,1.132,0,40,11
trial,7:9|8:9|2:5|2:6|4:1|5:1|,5:6,4:8,fullMiss,1.1,0,34,3
trial,3:8|3:9|4:2|5:2|9:2|9:3|,5:6,3:8,hit,1.251,0,49,0
trial,8:4|8:5|4:5|4:6|,5:6,6:6,fullMiss,1.004,0,3,1
trial,6:8|6:9|2:3|3:3|8:1|8:2|,5:6,3:4,nearMiss,1.392,0,0,0
trial,4:2|4:3|6:8|7:8|8:1|8:2|,5:6,6:6,fullMiss,0.445,0,0,0
trial,7:8|7:9|2:5|2:6|7:2|8:2|,5:6,2:6,hit,0.499,0,0,0
trial,4:4|5:4|3:8|3:9|9:6|9:7|,5:6,2:5,fullMiss,0.912,0,1,1
trial,8:5|8:6|1:3|1:4|6:1|7:1|,5:6,7:5,nearMiss,1.62,0,1,2
trial,8:2|8:3|2:8|2:9|1:4|2:4|,5:6,4:3,fullMiss,1.136,0,0,0
trial,4:4|5:4|7:8|7:9|2:8|2:9|,5:6,5:5,nearMiss,1.151,0,0,0
trial,4:3|5:3|3:7|3:8|9:1|9:2|,5:6,4:5,fullMiss,1.452,0,0,0
trial,6:4|7:4|2:4|2:5|8:9|9:9|,5:6,4:7,fullMiss,0.488,0,0,0
trial,2:6|2:7|7:4|7:5|1:1|2:1|,5:6,5:4,fullMiss,0.803,0,0,1
trial,6:5|7:5|2:9|3:9|1:2|1:3|,5:6,5:5,nearMiss,1.876,0,0,0
trial,3:1|3:2|2:6|2:7|6:6|7:6|,5:6,4:6,fullMiss,0.584,0,0,0
trial,3:7|3:8|1:2|2:2|8:2|8:3|,5:6,2:6,nearMiss,0.748,0,1,0
trial,7:1|8:1|2:1|3:1|6:6|6:7|,5:6,4:7,fullMiss,0.424,0,0,0
trial,4:6|5:6|6:1|7:1|9:5|9:6|,5:6,4:6,hit,1.1,0,0,0

